A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U;V;W
AR;hexa-ar.svg;المستوى المُعيَّن;مهارات اللغة;فَهْم الاستماع;فَهْم القراءة;الإنتاج الكتابي;الإنتاج الشفوي;المفردات;بنية اللغة;مكتسب المستوى A1;مكتسب المستوى A2;مكتسب المستوى B1;مكتسب المستوى B2;مكتسب المستوى C1;مكتسب المستوى C2;تم تحقيق المستوى A1;تم تحقيق المستوى A2;تم تحقيق المستوى B1;تم تحقيق المستوى B2;تم تحقيق المستوى C1;تم تحقيق المستوى C2;تحميل الرسم البياني
CN;hexa-cn.svg;分配级别;语言能力;听力理解;阅读理解;书面表达;口头表达;词汇;语言结构;A1已获得;A2已获得;B1已获得;B2已获得;C1已获得;C2已获得;A1正在获得中;A2正在获得中;B1正在获得中;B2正在获得中;C1正在获得中;C2正在获得中;下载图表
DE;hexa-de.svg;Zugewiesenes Niveau;Sprachfertigkeiten;Hörverstehen;Leseverstehen;Schriftliche Produktion;Mündliche Produktion;Lexik;Sprachstruktur;A1 erreicht;A2 erreicht;B1 erreicht;B2 erreicht;C1 erreicht;C2 erreicht;A1 im Erwerb;A2 im Erwerb;B1 im Erwerb;B2 im Erwerb;C1 im Erwerb;C2 im Erwerb;Diagramm herunterladen
EN;hexa-en.svg;Assigned level;Language skills;Listening comprehension;Reading comprehension;Written production;Spoken production;Lexis;Language structure;A1 achieved;A2 achieved;B1 achieved;B2 achieved;C1 achieved;C2 achieved;A1 in progress;A2 in progress;B1 in progress;B2 in progress;C1 in progress;C2 in progress;Download graph
ES;hexa-es.svg;Nivel asignado;Habilidades lingüísticas;Comprensión auditiva;Comprensión lectora;Producción escrita;Producción oral;Léxico;Estructura del lenguaje;A1 adquirido;A2 adquirido;B1 adquirido;B2 adquirido;C1 adquirido;C2 adquirido;A1 en proceso de adquisición;A2 en proceso de adquisición;B1 en proceso de adquisición;B2 en proceso de adquisición;C1 en proceso de adquisición;C2 en proceso de adquisición;Descargar gráfico
FR;hexa.svg;Niveau assigné;Compétences langagières;Compréhension Orale;Compréhension Écrite;Production Écrite;Production Orale;Lexique;Structure de la langue;A1 acquis;A2 acquis;B1 acquis;B2 acquis;C1 acquis;C2 acquis;A1 en cours d'acquisition;A2 en cours d'acquisition;B1 en cours d'acquisition;B2 en cours d'acquisition;C1 en cours d'acquisition;C2 en cours d'acquisition;Télécharger le graphe
IT;hexa-it.svg;Livello assegnato;Competenze linguistiche;Comprensione orale;Comprensione scritta;Produzione scritta;Produzione orale;Lessico;Struttura della lingua;A1 acquisito;A2 acquisito;B1 acquisito;B2 acquisito;C1 acquisito;C2 acquisito;A1 in fase di acquisizione;A2 in fase di acquisizione;B1 in fase di acquisizione;B2 in fase di acquisizione;C1 in fase di acquisizione;C2 in fase di acquisizione;Scarica il grafico
JP;hexa-jp.svg;割り当てられたレベル;「言語能力」;「聞く力」;「読む力」;「書く力」;「話す力」;「語彙」;「言語構造」;A1達成済み;A2達成済み;B1達成済み;B2達成済み;C1達成済み;C2達成済み;A1習得中;A2習得中;B1習得中;B2習得中;C1習得中;C2習得中;グラフをダウンロード
LT;hexa-lt.svg;Priskirtas lygis;Kalbinės kompetencijos;Klausymo supratimas;Skaitymo supratimas;Rašytinė kalba;Žodinė kalba;Leksika;Kalbos struktūra;A1 įgytas;A2 įgytas;B1 įgytas;B2 įgytas;C1 įgytas;C2 įgytas;A1 įgijimo procese;A2 įgijimo procese;B1 įgijimo procese;B2 įgijimo procese;C1 įgijimo procese;C2 įgijimo procese;Atsisiųsti diagramą
NL;hexa-nl.svg;Toegewezen niveau;Taalvaardigheden;Luistervaardigheid;Leesvaardigheid;Geschreven productie;Mondelinge productie;Woordenschat;Taalstructuur;A1 behaald;A2 behaald;B1 behaald;B2 behaald;C1 behaald;C2 behaald;A1 in ontwikkeling;A2 in ontwikkeling;B1 in ontwikkeling;B2 in ontwikkeling;C1 in ontwikkeling;C2 in ontwikkeling;Grafiek downloaden
PT;hexa-pt.svg;Nível atribuído;Competências linguísticas;Compreensão auditiva;Compreensão leitora;Produção escrita;Produção oral;Vocabulário;Estrutura da língua;A1 adquirido;A2 adquirido;B1 adquirido;B2 adquirido;C1 adquirido;C2 adquirido;A1 em processo de aquisição;A2 em processo de aquisição;B1 em processo de aquisição;B2 em processo de aquisição;C1 em processo de aquisição;C2 em processo de aquisição;Baixar gráfico
RO;hexa-ro.svg;Nivel atribuit;Abilități lingvistice;Înțelegere auditivă;Înțelegere lectură;Producție scrisă;Producție orală;Lexic;Structura limbii;A1 obținut;A2 obținut;B1 obținut;B2 obținut;C1 obținut;C2 obținut;A1 în curs de dobândire;A2 în curs de dobândire;B1 în curs de dobândire;B2 în curs de dobândire;C1 în curs de dobândire;C2 în curs de dobândire;Descărcați graficul
RU;hexa-ru.svg;Назначенный уровень;Языковые компетенции;Аудирование;Чтение;Письменная речь;Устная речь;Лексика;Структура языка;Уровень A1 достигнут;Уровень A2 достигнут;Уровень B1 достигнут;Уровень B2 достигнут;Уровень C1 достигнут;Уровень C2 достигнут;Уровень A1 в процессе достижения;Уровень A2 в процессе достижения;Уровень B1 в процессе достижения;Уровень B2 в процессе достижения;Уровень C1 в процессе достижения;Уровень C2 в процессе достижения;Скачать график
TR;hexa-tr.svg;Atanan seviye;Dil becerileri;Dinleme becerisi;Okuma becerisi;Yazılı üretim;Konuşma üretimi;Leksik;Dil yapısı;A1 seviyesi kazanıldı;A2 seviyesi kazanıldı;B1 seviyesi kazanıldı;B2 seviyesi kazanıldı;C1 seviyesi kazanıldı;C2 seviyesi kazanıldı;A1 seviyesi kazanılma aşamasında;A2 seviyesi kazanılma aşamasında;B1 seviyesi kazanılma aşamasında;B2 seviyesi kazanılma aşamasında;C1 seviyesi kazanılma aşamasında;C2 seviyesi kazanılma aşamasında;Grafiği indir
